description,mcc,category_name,description,,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,6540,Kart Kabul Noktası(POI)  Fonlama __lemleri - MoneySend Hariç,"Bu MCC altında ,  MoneySend dı_ında i_yeri ve finansal kurumda yapılan fonlamalar için kullanılacaktır. Kart hamili dı_ındaki birine gönderilen fonlar, finansal kurumdan bir hesaba yüklenen fonlar, e-cüzdana yüklenen fonlar, prepaid kartlara yüklenen fonlar,  mevcut olan bir borç ödemesinde direkt ödeme olarak kart kullanılması sınıflandırılır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,7511,Kamyon Durakları,"Bu MCC, -ATM i_lemleri dı_ında- kamyon duraklarının yakıt bölümlerinde, tartı istasyonlarında ve liman giri_lerinde   yüz yüze yapılan i_lemler için kullanılmaktadır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,7993,Video E_lence Oyun Gereçleri,"Bu MCC altında sınıflandırılan i_yerleri; jeton ile i_letilen e_lence makinelerini ve di_er ekipmanları satarlar. Bu ürünler video oyun makinelerini, otomatik plakçalar, tilt, mekanik oyun makinelerini ve otomatik foto_raf çeken kabinleri içerir.Oyun/atari salonları için MCC 7994 kullanılmalıdır.",,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,9700,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,9701,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,9702,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,9751,RFU (Reserved For Future Use),  ,,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,9752,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 00 - D__ER,9950,_irket _çi Alımlar,Bu MCC altında sınıflandırılan i_yerleri; ürün ve hizmetlerin dahili birimler arası transferini gösteren Satın Alma Kartı i_lemlerini i_leme koyarlar.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3351,Affiliated Auto Renalt,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3352,American Intl Rent-A-Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3353,Brooks Rent-A-Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3354,Action Auto Rental,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3355,Sixt Rent A Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3356,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3357,Hertz Auto Rental,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3358,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3359,Payless Rent A Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3360,Snappy Rent A Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3361,Airways Rent A Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3362,Altra Auto Rental,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3363,RFU (Reserved For Future Use), ,,,,,,,,,,,,,,,,,,,,,,
 01 - ARABA K_RALAMA,3364,Agency Rent A Car,Bu MCC belirtilen araç kiralama _irketi için kullanılmaktadır.,,,,,,,,,,,,,,,,,,,,,,
