27562422,50,34,41,47,40,32,25,31,50,26,39,56
27563069,7,6,6,12,8,9,6,11,14,7,11,9
27564848,2,12,8,6,11,16,12,9,10,14,10,11
27565953,11,14,11,14,11,22,28,12,13,21,29,20
27566122,120,82,81,136,115,93,90,104,110,111,137,105
27571607,6,11,11,10,17,14,8,7,12,19,15,9
27572003,23,14,21,12,10,8,6,8,17,9,12,12
27572009,97,109,123,141,106,102,86,71,126,108,123,89
27572462,12,11,19,10,7,25,12,10,9,8,7,9
27574273,135,144,153,129,189,178,117,123,137,129,128,160
27574725,8,11,7,8,8,7,9,11,17,12,21,9
27578077,8,11,4,4,11,15,22,26,22,19,18,14
27578079,12,7,11,13,11,13,12,5,17,23,20,15
27580331,8,10,5,5,5,5,5,10,9,16,27,35
27582953,11,5,11,11,7,9,9,13,5,11,16,9
27583048,813,1044,871,923,1181,1117,1074,1056,1162,1094,1221,1175
27584170,79,69,76,76,74,71,69,88,113,121,108,93
27584171,70,70,90,78,72,85,99,92,77,69,101,70
27586172,8,14,7,11,5,11,9,7,5,10,10,4
27587792,38,40,22,34,28,33,42,30,38,0,0,0
27589796,8,13,23,28,29,23,18,14,17,22,16,8
27590514,27,24,35,34,25,51,30,27,33,35,36,28
27592471,10,18,30,27,31,21,17,5,7,13,7,4
27592472,57,77,63,64,58,48,21,32,43,43,34,41
27595405,53,60,52,67,77,71,74,53,60,41,57,60
27595567,72,73,46,59,58,64,39,37,48,68,66,21
27595931,0,0,0,0,11,10,11,21,15,12,22,11
27596618,36,12,17,32,36,28,29,26,0,0,0,0
27598973,157,152,154,161,180,142,138,101,147,157,207,186
27599964,18,13,22,19,27,22,23,1,0,0,0,0
27601753,363,605,511,1052,1029,482,403,451,495,384,495,434
27603518,5,8,6,6,9,10,5,10,17,8,12,11
27603520,12,27,24,21,20,36,37,38,42,35,27,32
27605356,1572,1631,1720,1442,1652,1991,1023,1560,1948,1967,1639,1700
27610626,9,28,19,10,25,16,23,10,19,23,15,13
27613011,75,57,76,100,75,64,72,91,89,96,87,55
27613012,42,27,43,36,20,23,18,30,30,26,35,25
27615047,87,92,72,83,76,64,77,63,121,104,94,102
27615793,70,81,56,45,38,68,42,49,58,65,69,60
27615794,212,194,160,127,164,225,174,161,175,127,168,142
27615796,313,260,206,179,210,272,191,176,165,180,210,201
27615800,112,106,88,73,86,139,75,72,74,63,109,88
27615802,109,108,82,75,90,128,75,85,95,75,77,93
