UYEISYERI_ID_MASK,mcc,district_id,degree,betweenness,closeness,eigenvector,mcc_diversity,geo_diversity
27592471,5732,50,1054,0.000148213,0.569121701,0.01694052,2.441989019,2.731130895
27592472,5732,96,1898,0.000772081,0.639946856,0.028056297,2.373987631,3.308222367
27595405,5411,50,799,6.77E-05,0.550616029,0.013744087,2.339750579,2.520032672
27595567,5541,61,1215,0.000233449,0.581332976,0.019499282,2.393617589,2.865359024
27595931,5541,98,457,2.62E-05,0.527564805,0.007797335,2.180828409,2.990033419
27596618,5411,120,52,2.70E-07,0.502259298,0.000732968,1.603774217,2.110231892
27598973,5200,96,2147,0.001227665,0.664571516,0.030880816,2.354213345,3.168361458
27599964,5411,33,540,2.61E-05,0.533013648,0.010109343,2.448803912,2.83989793
27601753,4814,115,0,0,0,0,0,0
27603518,5732,59,518,2.72E-05,0.531640912,0.009282968,2.459864903,2.726200579
27603520,5732,160,416,1.86E-05,0.525072674,0.007068168,2.37773528,2.466192674
27605356,5969,50,0,0,0,0,0,0
27610626,5411,50,501,2.33E-05,0.530599755,0.008660901,2.27251827,2.29405076
27613011,5541,63,1545,0.000528335,0.608335672,0.023686689,2.360331309,3.16628256
27613012,5541,141,1144,0.000221237,0.576003189,0.018270381,2.353441862,3.026260508
27615047,5541,121,1168,0.000234079,0.577691898,0.018052105,2.333657758,3.239725019
27615793,5691,60,1341,0.000330187,0.591324512,0.020665481,2.411472656,3.254994658
27615794,5691,61,2282,0.001229489,0.678509939,0.033375607,2.384594061,3.157227778
27615796,5691,4,2480,0.001623194,0.700323102,0.034970831,2.375815757,3.161311244
27615800,5691,33,2215,0.001042365,0.671468401,0.033698716,2.418885772,3.209593928
27615802,5691,50,2063,0.000882569,0.656122295,0.03070721,2.405035401,3.079163423
27615804,5691,50,1652,0.000442948,0.617609346,0.025911024,2.424412143,2.938469868
27615931,5691,50,865,6.40E-05,0.555270911,0.015002317,2.374734888,2.607936703
27619013,5541,12,1281,0.00031968,0.586524151,0.020173281,2.354660625,3.297188515
27619690,5541,65,640,8.04E-05,0.53978334,0.010124719,2.258229663,3.055705417
27620345,5691,63,841,0.000122666,0.553569148,0.013543934,2.184823112,2.830419333
27622457,5541,81,1084,0.000216933,0.571296784,0.017088149,2.253975574,3.263244371
27622805,4814,77,779,0.00010385,0.549220829,0.01365818,2.308962824,3.154312099
27623697,5499,4,252,3.64E-06,0.514784467,0.004825863,2.554935005,2.30411758
27623850,5411,4,221,4.41E-06,0.512775018,0.003809698,2.278548937,1.905639762
27623883,5411,50,344,8.54E-06,0.520408163,0.006117991,2.369754398,2.158841181
27624506,5499,160,233,4.53E-06,0.513564744,0.003930412,2.343062211,2.224677128
27625611,5691,84,981,0.000116933,0.56364582,0.017637897,2.337843955,3.003081019
27628262,5977,121,655,4.89E-05,0.540658518,0.011233542,2.393716168,2.941704478
27629364,5942,50,1179,0.000164271,0.578539971,0.01904797,2.417690813,2.644900119
27629747,5411,160,2661,0.002133923,0.721417873,0.037104959,2.366025647,3.246529933
27629749,5732,160,1231,0.000289702,0.58266129,0.018525038,2.355808936,2.920840936
27630211,5941,60,452,2.35E-05,0.527308113,0.007574001,2.470933064,2.922092386
27630455,5732,50,0,0,0,0,0,0
27632179,5541,87,853,0.000127571,0.554489639,0.014179741,2.26131995,3.121391624
27633494,5641,50,0,0,0,0,0,0
27634044,5499,65,193,3.18E-06,0.511082292,0.003329342,2.349230163,2.446943141
27634538,5691,160,2118,0.001202103,0.661630037,0.030612813,2.376418546,3.16498802
27634834,5661,160,724,5.65E-05,0.545488864,0.011971465,2.316167603,2.671056149
27634880,5691,160,978,0.000103384,0.563426046,0.015812929,2.402336043,2.651804974
27635220,5541,4,1304,0.000294539,0.588355049,0.020560274,2.36381057,2.996392075
27636281,5691,160,581,3.00E-05,0.535780497,0.009535693,2.376318862,2.407020335
27636312,5941,160,735,5.95E-05,0.54624496,0.011862129,2.349469186,2.569022278
27636990,5691,160,1462,0.000354965,0.601248266,0.022584559,2.405447464,2.864685471
27637822,5541,63,782,9.59E-05,0.549568966,0.012288244,2.325826552,2.850659375
27637842,5814,115,920,0.000130336,0.559210526,0.015730307,2.406014921,3.035312652
27638066,5541,84,1089,0.000188577,0.57167348,0.017634983,2.235425588,3.318190564
27638392,5661,160,1377,0.000370482,0.594405594,0.020506741,2.396339067,2.928836368
27639519,5411,123,558,3.04E-05,0.53426177,0.010270652,2.508506883,2.694596665
27641628,5977,61,1642,0.000491421,0.616730687,0.025713848,2.39295019,2.993824288
27641631,5977,12,1041,0.000169564,0.568077578,0.017603571,2.401860041,3.176099853
27645337,5732,84,0,0,0,0,0,0
27646263,5691,160,1284,0.000230664,0.586762317,0.02030757,2.395731116,2.887932164
27646721,5691,115,2091,0.001089287,0.65881459,0.031051738,2.309771418,3.279588208
27647243,5541,60,847,0.00012107,0.55399361,0.0135207,2.283775573,3.177090449
27647936,5411,50,577,3.13E-05,0.535449605,0.009613922,2.330745748,2.449040134
27649743,5541,60,1273,0.000288245,0.585889985,0.019872014,2.344204685,3.254796185
27650325,5942,123,0,0,0,0,0,0
27650350,5541,96,572,4.68E-05,0.535185185,0.009387163,2.340847243,2.800983732
27650616,5411,81,332,9.58E-06,0.519721856,0.006155105,2.32742911,2.884557153
27650617,5411,115,516,4.30E-05,0.531510544,0.00867334,2.186094995,2.819785799
27652194,5411,96,408,1.57E-05,0.524500907,0.007023965,2.5178873,2.566866705
27652365,5732,81,1316,0.000317339,0.589394969,0.020646766,2.352136603,3.177402687
27653324,5691,96,515,4.07E-05,0.531510544,0.008255215,2.297164318,2.737670803
27653808,5411,100,1100,0.00022081,0.572503962,0.017577098,2.379196239,3.196186342
27655856,5541,60,467,3.37E-05,0.528271996,0.007397253,2.089152848,3.033981154
27657169,5691,115,987,0.000155366,0.564085882,0.016549753,2.258046833,3.035747946
27657307,5541,77,1182,0.000255723,0.578771696,0.018448598,2.263533412,3.261913443
27657490,5945,61,914,8.54E-05,0.558778036,0.015802761,2.433445461,2.67597004
27657553,4722,1,0,0,0,0,0,0
27658550,5411,63,371,1.27E-05,0.522163334,0.006143389,2.343089258,2.286856173
27658696,5691,4,1501,0.000412099,0.604686846,0.022410092,2.387980758,2.874984465
27660892,5045,38,0,0,0,0,0,0
27661384,5411,123,308,6.92E-06,0.518292683,0.005832187,2.545374166,2.469093956
27661853,5541,34,1382,0.000345762,0.594650206,0.021697314,2.317467604,3.298530905
27662322,5045,82,0,0,0,0,0,0
27662758,7399,9,15,0,0.479164364,0.000331218,0,1.801892401
27663158,5661,63,747,6.90E-05,0.547141234,0.012386865,2.292732412,2.665641488
27664910,5812,115,889,9.48E-05,0.556983168,0.015954293,2.415196178,3.020327227
27665015,5691,123,0,0,0,0,0,0
27666410,4511,34,0,0,0,0,0,0
27667829,5541,115,1483,0.000421438,0.603088481,0.023946097,2.37004727,3.180326274
27669589,5499,9,207,6.93E-06,0.512048193,0.003711095,2.061839104,2.751336954
27671279,5411,34,209,4.93E-06,0.512108683,0.003778815,2.226563336,2.528275658
27671912,5541,60,575,4.39E-05,0.535383475,0.009817948,2.26398194,3.191233
27674316,5941,50,1021,0.000179963,0.566592602,0.016747257,2.459875193,2.979368846
27674977,5411,160,471,1.53E-05,0.528465196,0.00825602,2.443756119,2.379765
27676228,5541,121,1053,0.000167839,0.568972306,0.016245593,2.364308636,3.099503736
27676719,5814,4,1160,0.000194015,0.577153508,0.018307492,2.388733784,2.816624957
27677152,5691,84,1546,0.000481806,0.608335672,0.024127079,2.36890458,3.285930047
27678980,5499,4,466,1.81E-05,0.528207628,0.008353924,2.395986754,2.537880597
27679204,5977,34,1236,0.000219413,0.582974718,0.020287359,2.415621844,3.156803279
27679313,5541,77,740,7.70E-05,0.546451532,0.012047785,2.236545114,3.098332598
27680755,5941,81,1096,0.000228522,0.57220169,0.016921844,2.301015875,3.112165164
27681732,5712,115,1468,0.000382292,0.60183257,0.02445218,2.422049605,3.037700858
27681956,5691,81,1075,0.000180424,0.57054488,0.017541058,2.342268223,3.208508231
27682666,5200,115,2806,0.002280267,0.739004432,0.039446649,2.363901564,3.337373529
27683014,5945,115,1568,0.000407371,0.610219595,0.025301732,2.422504698,3.140972595
27683761,5411,4,494,2.07E-05,0.530015894,0.00865342,2.360222353,2.407338709
27683865,5661,115,985,0.000101833,0.563939118,0.017592234,2.40071623,2.969318232
27684270,5941,115,1521,0.00039836,0.606208922,0.024305173,2.338857339,3.145985755
27684889,4722,160,0,0,0,0,0,0
27685150,5541,96,654,5.25E-05,0.540658518,0.010371895,2.334364762,2.695895172
27685381,5941,115,1373,0.000263178,0.593916975,0.022984248,2.420418999,3.115846119
27685467,5411,9,1419,0.000346918,0.597766133,0.022986418,2.396078156,3.058325986
27685470,5411,4,869,7.15E-05,0.555555556,0.014689404,2.442764449,2.69776175
27685480,5411,17,683,7.26E-05,0.542621104,0.011819412,2.385032125,2.915008173
27685492,5411,34,1072,0.000179492,0.570394737,0.017477415,2.488768142,3.144952606
27685503,5411,123,1245,0.000251801,0.583681163,0.020619051,2.39705558,3.178726719
27685508,5411,160,943,0.000128274,0.560947205,0.015059573,2.362969271,2.676665823
27685514,5411,115,1610,0.000510686,0.613848768,0.025578329,2.376018346,3.192212225
27685516,5411,115,404,1.64E-05,0.524310595,0.00769076,2.359369103,2.691565142
27685522,5411,59,968,0.000138636,0.562694704,0.01669967,2.416679098,3.03797069
27685528,5411,115,1218,0.000311456,0.581566944,0.019077048,2.303473228,2.971813573
27685537,5411,12,1442,0.000376151,0.599585062,0.022698384,2.37266656,3.282274022
27685695,5691,115,1288,0.0002211,0.587080173,0.022031413,2.424867691,3.08364186
27685697,5691,115,2626,0.001933141,0.717002977,0.037245414,2.353578848,3.34448729
27685882,5941,115,1166,0.000169165,0.57753797,0.019904746,2.436292347,3.023263981
27686076,5661,115,1035,0.000126755,0.567631269,0.018276983,2.33389631,2.961601094
27686258,5661,115,1074,0.00013944,0.57054488,0.018618552,2.373118811,3.045858248
27686304,5691,115,977,9.86E-05,0.563352827,0.01750694,2.476657035,3.006842242
27686311,5942,115,1661,0.00050872,0.618314078,0.026672651,2.392763683,3.106813522
27686600,5661,115,1507,0.000436592,0.605024424,0.023875172,2.34701626,3.149491332
27686909,5814,115,1781,0.000647836,0.629081411,0.027835567,2.40751335,3.204747997
27687662,5661,115,935,0.000111783,0.560294688,0.01643715,2.45387298,2.950315093
27687775,5950,115,890,8.34E-05,0.557054742,0.01597821,2.496111629,2.839849282
27688138,5977,115,2505,0.001580218,0.702934976,0.036385028,2.380714476,3.302006253
27688726,5691,65,817,8.23E-05,0.551877785,0.013382205,2.500369032,2.832731502
27690038,5691,115,1250,0.000195455,0.584074373,0.021602576,2.409823986,3.055787302
27690437,5814,12,350,1.63E-05,0.520908435,0.006204348,2.391223077,2.950724118
27690673,5942,77,0,0,0,0,0,0
27692198,5411,81,1189,0.000230059,0.57931311,0.019359869,2.413115239,3.132930964
27692436,5732,60,512,3.60E-05,0.53125,0.007782381,2.421501027,2.901163824
27692440,5691,115,1253,0.000213403,0.584310554,0.021324006,2.407975688,3.066026482
27692441,5691,160,723,4.95E-05,0.545420232,0.01178848,2.417818926,2.564879868
27692479,5912,115,1237,0.000198777,0.583053127,0.021345343,2.452275688,3.030906519
27692671,4812,17,438,3.49E-05,0.526475589,0.007545623,2.395273755,3.04701252
27692672,4814,17,3940,0.008432608,0.916490486,0.047358105,2.233526975,3.431896209
27694531,5541,121,1048,0.000146359,0.568599161,0.017059802,2.404101279,3.216570588
27694686,5945,60,436,2.13E-05,0.526219956,0.006894488,2.506440414,2.797679359
27695042,5411,87,197,2.64E-06,0.511383744,0.00348748,2.495871214,2.431774049
27696939,5732,63,0,0,0,0,0,0
27697174,4511,65,0,0,0,0,0,0
27702198,5541,33,2053,0.000930231,0.654932769,0.031564847,2.407202311,3.299743429
27703262,5941,50,821,7.43E-05,0.552018337,0.013166819,2.368673064,2.465269216
27703331,5200,4,2911,0.002799532,0.75273485,0.039144013,2.33619221,3.266265107
27703338,5541,61,1775,0.000644129,0.62862529,0.027684114,2.389867849,3.221060206
27703348,5411,4,3093,0.003421645,0.777299623,0.040868475,2.332551696,3.299818951
27703381,5541,50,1019,0.000169165,0.566444532,0.016378408,2.312084737,2.90844797
27703492,5411,63,825,0.000114888,0.552370031,0.013153376,2.335643772,2.817238252
27703539,5200,42,2513,0.001948036,0.703848027,0.034326063,2.351700875,3.367587018
27703557,5411,115,985,0.000124721,0.563939118,0.017208834,2.454222858,2.922461834
27703599,5411,59,2220,0.001146589,0.671988839,0.033236023,2.408419946,3.311245561
27705284,5661,96,688,5.64E-05,0.542960922,0.010706494,2.381222155,2.614872366
27707020,5691,50,548,2.05E-05,0.533407161,0.009700967,2.328027545,2.432649002
27707124,5541,82,774,8.47E-05,0.548873132,0.012754072,2.274540982,3.11664453
27707158,5661,123,1079,0.000163547,0.570920585,0.018239318,2.331070445,3.089265524
27709355,5992,123,1340,0.000287415,0.591243863,0.022428568,2.473193208,3.15330104
27711953,5691,61,598,3.18E-05,0.536775632,0.010470646,2.377531996,2.564459268
27713103,5499,84,1135,0.000195719,0.57508623,0.019388811,2.348818937,3.143793843
27713879,5541,17,1268,0.000313799,0.585494327,0.020461205,2.229061301,3.285453022
